predictor_1,predictor_2,predictor_3,predictor_4,predictor_5,predictor_6,predictor_7,Species_A
pool,1,1058,1,6.7,24.6,42,1
pool,1,1058,1,6.75,27.7,30,0
pool,1,1058,3,7.5,26.8,42.1,1
pool,1,1058,3,7.45,24.2,73.3,1
pool,1,1058,3,7.42,26.2,46.3,1
pool,1,1058,2,8,29.5,25.5,1
pool,1,1058,1,7.5,28,27.6,0
pool,1,1058,3,7.7,26.6,28.6,1
pool,1,1058,2,7.3,26.1,29.3,1
pool,1,1058,5,7.2,27.3,27.1,1
pool,1,1058,3,7.15,28.9,28,1
pool,1,1058,2,7.3,30,32.2,0
pool,1,1058,7,7.9,26.2,54.2,1
pool,1,1058,6,7.7,23.9,66.7,1
pool,1,1058,2,7.56,27.6,48.7,1
pool,1,1058,4,7.7,27.4,41.9,0
pool,1,1058,3,8.3,32.9,40.2,0
pool,1,1058,3,7.9,32.9,35.6,1
pool,1,1058,6,7.9,31.8,29.3,0
pool,1,1058,6,7.9,31.3,27.3,1
pool,1,1058,4,8.1,30.7,30.4,1
pool,1,1058,3,7.7,32.1,33.4,1
pool,1,1058,4,7.99,31,33.4,1
pool,1,1058,4,7.7,30.8,31.6,0
pool,1,1058,1,7.1,30,41,0
pool,1,1058,1,7.2,32.2,26.2,1
pool,1,1058,2,7.2,31.2,34.1,0
pool,1,1058,2,7.3,25,83.5,0
pool,1,1058,4,7.6,27.1,62.2,1
pool,1,1058,4,7.6,25.2,47.3,1
pool,1,1058,2,7.78,26,43.2,1
pool,1,1058,5,7.4,23.9,48,1
pool,1,1058,3,7.35,27.3,31.5,0
pool,1,1058,7,7.83,24.3,50,1
pool,1,1058,4,7.86,23.8,57,0
lake,1,639,13,7.1,31.5,57.2,1
lake,1,658,10,7.1,27.8,39,0
lake,1,622,8,6.8,26.4,60.2,1
pool,0,1002,3,8.5,17.9,122,0
lake,1,617,15,5.9,28.8,85,1
pool,1,1082,1,7.5,22,80,0
pool,1,1083,1,7.75,21,104,0
pool,1,1084,3,8.3,23.4,58,0
pool,1,1085,1,8.03,21.6,66,0
pool,1,1086,1,8.4,23.5,76,0
pool,1,1087,1,8.4,23.5,68,0
pool,1,1088,1,9.2,27.5,39,0
pool,1,1089,1,9.2,24,75,0
pool,1,1090,4,8.9,24.3,73,0
pool,1,1091,2,8.8,26.6,86,0
pond,0,897,1,6.94,24.8,24,1
pool,0,898,1,7.35,23.5,23,1
pool,0,899,2,8,24,22,1
pool,0,900,2,8.6,24,22,1
pool,1,900,1,8.2,22,25,1
pool,1,900,2,8.5,21.7,17.3,0
lake,1,700,8,8.1,28,163,0
lake,1,700,4,8,27.4,160,1
lake,1,700,4,8,27.4,160,1
lake,0,709,4,8.33,28,126,1
lake,1,557,16,7,28.5,55,1
pool,1,626,4,8.72,24,162,0
river,0,678,4,8.42,27.5,146,1
pool,1,641,8,8.89,28.4,154,0
lake,1,639,5,8.59,27,141,1
river,0,612,2,8.35,29,137,0
pool,1,662,4,8.04,27,145,1
pool,1,662,4,8.02,27.4,158,1
pool,1,662,2,7.86,27.4,162,1
pool,1,662,2,8.5,27.2,106,0
pool,1,662,3,9.2,29,96,1
pool,1,662,8,8.8,28.7,106,1
pool,1,662,7,8.85,28,106,0
pool,1,662,3,8.2,30,129,1
pool,1,662,2,8.38,31,144,1
pool,1,662,2,8.2,29,168,1
pool,1,662,3,8.29,29,150,1
pool,1,662,7,8.23,31,147,1
pool,1,662,3,8.84,30,104,0
pool,1,662,6,8.63,29,98,1
pool,1,662,8,9.29,29.6,85,1
pond,1,578,7,8.2,29.8,158,0
pond,1,579,7,8.17,26,135.3,0
pond,1,580,8,8.24,26.1,131,0
pond,1,581,8,8.58,22.8,128.7,0
pond,1,582,9,8.79,20.8,125.3,0
pond,1,583,9,9.1,26.8,177.5,0
pond,1,584,4,7.45,30.5,315.7,0
pond,1,585,3,8.4,28.3,164.3,0
pond,1,586,6,8.17,26,135.3,0
pond,1,581,6,6.8,30,52,0
river,1,551,7,7.37,25.2,283,1
river,1,552,5,7.15,28,279,0
river,1,553,5,7.12,29,313,0
river,1,554,6,7.65,30.8,302,0
river,1,555,4,7.4,31.2,308,0
river,1,556,4,7.61,29.7,288,0
river,1,557,3,8.05,28,209,1
river,1,558,3,8,22.6,105,1
river,1,559,3,7.8,24,242,1
river,1,560,4,7.25,24.7,386,1
lake,1,588,9,9.1,23.7,202,1
lake,1,589,12,8.4,28.4,215,1
lake,1,590,12,8.1,27,205,1
lake,1,591,11,7.9,26.6,221,1
river,1,561,13,8.5,21.6,89,1
river,1,562,17,7.27,27,74,0
river,1,563,17,8,26.8,82,1
river,1,564,12,8.2,26.1,67,0
pond,0,670,6,8.8,21.8,239,0
pond,0,671,3,8.8,21.5,233,1
pond,0,672,4,8.65,21.5,239,0
pond,1,673,2,8.25,23.9,340,0
pond,1,573,7,8.3,28,310,1
pond,1,574,5,8,29.5,257,0
pool,1,612,5,8.7,26.7,166,0
pond,1,587,4,8.2,27,147,0
pool,1,612,4,7.86,27.9,210,1
pond,1,573,5,7.86,27.9,210,1
pond,1,592,3,9.5,27.1,89,1
pond,1,592,5,8.54,31,92,0
lake,1,564,6,8.1,27.8,294,1
lake,1,564,4,8.1,26.8,291,0
lake,1,564,4,7.7,27.6,283,0
pond,1,570,7,7.73,27.1,441,1
pond,1,570,5,7.61,24.4,533,0
lake,1,575,13,8.46,28.3,540,1
lake,0,575,3,8.34,27.6,480,0
pool,1,591,1,7.78,21.1,846,0
lake,0,688,10,8.2,24.5,650,1
pool,0,576,2,8,28.7,195,0
pool,0,569,1,8.3,29.7,686,0
lake,1,545,2,8,27.1,279,0
lake,0,496,3,7.5,28.3,66,0
lake,0,496,5,8,28,278,0
pool,1,577,4,9.05,24.1,142,0
pool,0,578,1,8.63,24.3,230,1
pool,0,579,3,8.06,26.1,218,1
pool,0,580,4,8.65,26.8,253,0
pool,1,581,5,8.75,24.7,57,0
pool,1,582,3,9.38,27.8,94.2,0
pool,1,583,3,9.51,28.2,84.4,0
pool,1,584,3,9.88,26.2,142,0
pool,1,585,2,9.6,26.8,144,0
pool,0,586,3,9.3,27.5,132,0
pool,0,626,4,10.1,26,101,1
pool,0,627,11,9.8,25,85,0
pond,0,639,1,8.07,32,247,0
pool,1,563,1,9,35,172,0
pool,0,549,4,7.7,31,286,0
pool,0,1209,3,8.6,18,67,0
river,0,657,1,8.8,26,356,0
lake,0,861,3,8.37,26,171,0
lake,0,738,2,8.34,27,162,0
pond,1,733,4,7.25,25.9,350,1
pond,0,569,3,8.3,28.3,230,1
