Sites,Species_1,Species_2,Species_3,Species_4,Species_5,Species_6,Species_7,Species_8,Species_9,Species_10
site_1,0,0,0,0,0,0,0,0,0,0
site_2,0,0,0,0,0,0,0,0,0,0
site_3,0,0,0,0,0,0,0,0,0,0
site_4,0,0,0,0,0,0,0,0,0,0
site_5,0,0,0,0,0,0,0,0,1,0
site_6,0,0,0,0,0,0,0,0,0,0
site_7,0,0,0,0,0,0,0,0,0,0
site_8,0,0,0,0,0,0,0,0,0,0
site_9,0,0,0,0,0,0,0,0,0,0
site_10,0,0,0,0,0,0,0,0,0,0
site_11,0,0,0,0,0,0,0,0,0,0
site_12,0,0,0,0,0,0,0,0,0,0
site_13,0,0,0,0,0,0,0,1,0,0
site_14,0,0,0,0,0,0,0,1,0,0
site_15,0,0,0,0,0,0,0,0,0,0
site_16,0,0,0,0,0,0,0,0,0,0
site_17,0,0,0,0,0,0,0,0,0,0
site_18,0,0,0,0,0,0,0,0,0,0
site_19,0,0,0,0,0,0,0,0,0,0
site_20,0,0,0,0,0,0,0,0,0,0
site_21,0,0,0,0,0,0,0,0,0,0
site_22,0,0,0,0,0,0,0,0,0,0
site_23,0,0,0,0,0,0,0,0,0,0
site_24,0,0,0,0,0,0,0,0,0,0
site_25,0,0,0,0,0,0,0,0,0,0
site_26,0,0,0,0,0,0,0,0,0,0
site_27,0,0,0,0,0,0,0,0,0,0
site_28,0,0,0,0,0,0,0,1,0,0
site_29,0,0,0,0,0,0,0,1,0,0
site_30,0,0,0,0,0,0,0,0,0,0
site_31,0,0,0,0,0,0,0,0,0,0
site_32,0,0,0,0,0,1,1,0,0,0
site_33,0,0,0,0,0,0,0,0,0,0
site_34,0,0,0,0,0,0,0,1,0,0
site_35,0,0,0,0,0,0,0,1,0,0
site_36,1,0,1,0,0,0,0,1,0,0
site_37,0,0,1,0,0,0,0,0,0,0
site_38,0,0,1,0,0,0,1,0,0,0
site_39,0,0,1,0,0,0,0,0,0,0
site_40,0,1,1,0,0,0,0,0,0,0
site_41,0,0,0,0,0,0,0,0,0,0
site_42,0,0,0,1,0,0,0,0,0,0
site_43,0,0,0,0,0,0,0,1,0,0
site_44,0,0,0,0,0,0,0,0,0,0
site_45,0,0,0,0,0,0,0,0,0,0
site_46,0,0,0,0,0,0,0,0,0,0
site_47,0,0,0,1,0,0,0,0,0,0
site_48,0,0,0,1,0,0,0,0,0,0
site_49,0,0,0,0,0,0,0,1,0,0
site_50,0,0,0,1,0,0,0,0,0,0
site_51,0,0,0,0,0,0,0,0,0,0
